model_date,date,geography_modeled,rt_median,rt_lower,rt_upper
2021-02-03,2020-12-07,covidregion_11,0.967157261331704,0.809596841704305,1.08452760572296
2021-02-03,2020-12-09,covidregion_11,0.974415061235227,0.806701243712188,1.10826618824372
2021-02-03,2020-12-11,covidregion_11,0.997192470770906,0.787862137754236,1.12778517324053
2021-02-03,2020-12-13,covidregion_11,1.00806659014874,0.772860513576006,1.12834525298951
2021-02-03,2020-12-15,covidregion_11,1.00243017341459,0.77433142932115,1.11761319679815
2021-02-03,2020-12-17,covidregion_11,0.985329535741028,0.763581350424245,1.12700811518288
2021-02-03,2020-12-19,covidregion_11,0.956842048099709,0.742677961407297,1.12913679197659
2021-02-03,2020-12-21,covidregion_11,0.95055365295408,0.742380889587157,1.14340601023154
2021-02-03,2020-12-23,covidregion_11,0.960269998452383,0.749952681093209,1.14668500963714
2021-02-03,2020-12-25,covidregion_11,0.955239432361758,0.739268780186019,1.17235392448609
2021-02-03,2020-12-27,covidregion_11,0.990264668999976,0.731442204592066,1.17698787882307
2021-02-03,2020-12-29,covidregion_11,0.972543979350395,0.717742856134517,1.16670715567394
2021-02-03,2020-12-31,covidregion_11,0.949388284189887,0.70295748971951,1.13479484505399
2021-02-03,2021-01-02,covidregion_11,0.924511087235911,0.685699358019719,1.11216789612851
2021-02-03,2021-01-04,covidregion_11,0.890899500261226,0.670818481538681,1.11361207991892
2021-02-03,2021-01-06,covidregion_11,0.880698890457407,0.679270081541976,1.12659578688681
2021-02-03,2021-01-08,covidregion_11,0.876943226338333,0.661073837484033,1.12784816264903
2021-02-03,2021-01-10,covidregion_11,0.888070055191598,0.653938878375381,1.12707796404792
2021-02-03,2021-01-12,covidregion_11,0.868383230744277,0.646270960303226,1.1512789081574
2021-02-03,2021-01-14,covidregion_11,0.869483234738458,0.640651604517908,1.116763079937
2021-02-03,2021-01-16,covidregion_11,0.877983412813002,0.617090445002153,1.1042619766163
2021-02-03,2021-01-18,covidregion_11,0.881099569764092,0.619697807785686,1.08958178304397
2021-02-03,2021-01-20,covidregion_11,0.847589908524363,0.608095451864892,1.06451814369349
2021-02-03,2021-01-22,covidregion_11,0.838163104700861,0.593723009763138,1.03443173973851
2021-02-03,2021-01-24,covidregion_11,0.81894721919549,0.603678052307268,1.04225501296228
2021-02-03,2021-01-26,covidregion_11,0.809487226265647,0.63571865423427,1.03895653330755
2021-02-03,2021-01-28,covidregion_11,0.807759016627091,0.630847612315043,1.0367529561298
2021-02-03,2021-01-30,covidregion_11,0.827654753144031,0.595973709091908,1.0272635268116
2021-02-03,2021-02-01,covidregion_11,0.82558539317518,0.606329639888603,1.03268842271306
2021-02-03,2021-02-03,covidregion_11,0.814449095538626,0.583371088917672,1.01642914635685
2021-02-03,2021-02-05,covidregion_11,0.809260553393451,0.60236443737124,1.03274953417138
2021-02-03,2021-02-07,covidregion_11,0.80594294449307,0.586055991036601,1.03366626722329
2021-02-03,2021-02-09,covidregion_11,0.790289136248335,0.57561868971887,1.03873095812245
2021-02-03,2021-02-11,covidregion_11,0.773044297721865,0.582330800495956,1.03670655272807
2021-02-03,2021-02-13,covidregion_11,0.789303692649111,0.569868296631801,1.03061174731617
2021-02-03,2021-02-15,covidregion_11,0.790211732011942,0.560579908733157,1.04084010103307
2021-02-03,2021-02-17,covidregion_11,0.776122677604628,0.541852523143221,1.01810354275325
2021-02-03,2021-02-19,covidregion_11,0.767534328531887,0.541202422076761,1.02334906879163
2021-02-03,2021-02-21,covidregion_11,0.75747348672666,0.547974025107107,1.01058379477974
2021-02-03,2021-02-23,covidregion_11,0.757382626765069,0.529257734510764,0.986421112483027
2021-02-03,2021-02-25,covidregion_11,0.745741261819187,0.555711175728675,0.963908349392935
2021-02-03,2021-02-27,covidregion_11,0.733360056268222,0.541443961167656,0.966363622721284
2021-02-03,2021-03-01,covidregion_11,0.725258459234992,0.528217181286985,0.959102370112549
2021-02-03,2021-03-03,covidregion_11,0.731433259862423,0.517994928770334,0.970122898959477
2021-02-03,2021-03-05,covidregion_11,0.72436390111265,0.513750128557939,0.976710865321768
2021-02-03,2021-03-07,covidregion_11,0.720561908256881,0.512087095469088,0.956963134151946
2021-02-03,2021-03-09,covidregion_11,0.720038170613898,0.524178887915654,0.931618527901056
2021-02-03,2021-03-11,covidregion_11,0.708520760814249,0.522005864882977,0.92316930350326
2021-02-03,2021-03-13,covidregion_11,0.67499995,0.516029598261762,0.915542187158422
2021-02-03,2021-03-15,covidregion_11,0.66979165625,0.489036676858814,0.922931467331637
2021-02-03,2021-03-17,covidregion_11,0.702056309031556,0.519049522272606,0.905666000842967
2021-02-03,2021-03-19,covidregion_11,0.675316061387067,0.493478036098968,0.924052880345102
2021-02-03,2021-03-21,covidregion_11,0.679211341052632,0.493519241156761,0.926156183036586
2021-02-03,2021-03-23,covidregion_11,0.687153527681661,0.484454968911713,0.889496374099745
2021-02-03,2021-03-25,covidregion_11,0.66023470999702,0.494543633928571,0.913741553156589
2021-02-03,2021-03-27,covidregion_11,0.6248369301,0.509460840659341,0.8997471380441
2021-02-03,2021-03-29,covidregion_11,0.660343010964096,0.51525521248937,0.91115522231989
2021-02-03,2021-03-31,covidregion_11,0.712270106142863,0.509456649284966,0.943624659948944
2021-02-03,2021-04-02,covidregion_11,0.676304450185555,0.506036920585968,0.940306099721248
2021-02-03,2021-04-04,covidregion_11,0.666938913891,0.469454924528302,0.907911389581358
2021-02-03,2021-04-06,covidregion_11,0.696279840985094,0.476919176010101,0.93728704995893
2021-02-03,2021-04-08,covidregion_11,0.668802782374706,0.474928967116013,0.939652910845266
2021-02-03,2021-04-10,covidregion_11,0.668585454576167,0.490494095581592,0.922188957336222
2021-02-03,2021-04-12,covidregion_11,0.66804865535445,0.481915894542822,0.928288885893888
2021-02-03,2021-04-14,covidregion_11,0.681818181818182,0.445362835716225,0.931033610964685
2021-02-03,2021-04-16,covidregion_11,0.675290545637777,0.467563277272727,0.925437743141138
2021-02-03,2021-04-18,covidregion_11,0.707864644524775,0.486979099829932,0.9212760406358
2021-02-03,2021-04-20,covidregion_11,0.666666666666667,0.476982387058661,0.924119036510742
2021-02-03,2021-04-22,covidregion_11,0.710723135440131,0.477492747721548,0.919751447630901
2021-02-03,2021-04-24,covidregion_11,0.688312612906779,0.481860198924731,0.945303575903207
2021-02-03,2021-04-26,covidregion_11,0.702663608419567,0.480048481481482,0.891388736497545
2021-02-03,2021-04-28,covidregion_11,0.686105438978052,0.452001199103943,0.871494497478463
2021-02-03,2021-04-30,covidregion_11,0.705183531145521,0.5073904241626,0.911831490976557
2021-02-03,2021-05-02,covidregion_11,0.727155239281943,0.526509297297297,0.857142857142857
